Source,Target,Type,Weight
9,4,Directed,3
12,0,Directed,2
0,12,Directed,0
17,11,Directed,2
11,17,Directed,1
14,13,Directed,5
13,14,Directed,0
16,15,Directed,3
15,16,Directed,1
18,7,Directed,1
7,18,Directed,5
8,19,Directed,4
19,8,Directed,3
2,10,Directed,1
10,2,Directed,1
5,3,Directed,1
3,5,Directed,0
7,12,Directed,3
12,7,Directed,1
0,8,Directed,3
8,0,Directed,2
3,1,Directed,3
1,3,Directed,3
11,4,Directed,4
4,11,Directed,2
13,17,Directed,3
17,13,Directed,0
15,2,Directed,3
2,15,Directed,2
9,16,Directed,1
16,9,Directed,0
19,18,Directed,2
18,19,Directed,2
10,14,Directed,1
14,10,Directed,0
6,5,Directed,1
5,6,Directed,0
8,11,Directed,1
11,8,Directed,0
2,7,Directed,2
7,2,Directed,1
1,10,Directed,1
10,1,Directed,2
4,15,Directed,2
15,4,Directed,0
5,19,Directed,0
19,5,Directed,3
12,6,Directed,0
6,12,Directed,0
17,9,Directed,0
9,17,Directed,1
14,3,Directed,3
3,14,Directed,0
16,13,Directed,3
13,16,Directed,1
18,0,Directed,1
0,18,Directed,0
1,9,Directed,0
9,1,Directed,1
5,13,Directed,3
13,5,Directed,0
12,11,Directed,2
11,12,Directed,2
17,15,Directed,1
15,17,Directed,0
16,10,Directed,0
10,16,Directed,2
18,3,Directed,1
3,18,Directed,0
8,6,Directed,1
6,8,Directed,3
4,7,Directed,2
7,4,Directed,1
14,0,Directed,2
0,14,Directed,1
2,19,Directed,0
19,2,Directed,1
7,16,Directed,1
16,7,Directed,0
0,5,Directed,1
5,0,Directed,0
9,8,Directed,3
8,9,Directed,0
3,4,Directed,0
4,3,Directed,3
11,2,Directed,0
2,11,Directed,2
10,17,Directed,3
17,10,Directed,1
13,18,Directed,1
18,13,Directed,4
15,1,Directed,1
1,15,Directed,1
19,12,Directed,4
12,19,Directed,1
6,14,Directed,1
14,6,Directed,4
3,2,Directed,2
2,3,Directed,2
0,17,Directed,4
17,0,Directed,1
9,12,Directed,4
12,9,Directed,2
11,18,Directed,1
18,11,Directed,0
19,4,Directed,1
4,19,Directed,0
10,5,Directed,2
5,10,Directed,1
6,16,Directed,1
16,6,Directed,2
13,8,Directed,0
8,13,Directed,3
7,1,Directed,2
1,7,Directed,0
15,14,Directed,1
14,15,Directed,4
2,6,Directed,3
6,2,Directed,0
4,0,Directed,2
0,4,Directed,1
5,11,Directed,0
11,5,Directed,0
17,19,Directed,2
19,17,Directed,2
16,3,Directed,3
3,16,Directed,1
18,10,Directed,0
10,18,Directed,2
8,7,Directed,3
7,8,Directed,3
1,13,Directed,1
13,1,Directed,2
12,15,Directed,2
15,12,Directed,0
14,9,Directed,2
9,14,Directed,0
0,6,Directed,1
6,0,Directed,0
3,8,Directed,3
8,3,Directed,1
11,9,Directed,0
9,11,Directed,3
17,12,Directed,1
12,17,Directed,3
13,7,Directed,0
7,13,Directed,4
14,16,Directed,4
16,14,Directed,0
15,5,Directed,0
5,15,Directed,0
18,1,Directed,3
1,18,Directed,0
2,4,Directed,4
4,2,Directed,0
10,19,Directed,1
19,10,Directed,1
8,15,Directed,2
15,8,Directed,2
1,2,Directed,0
2,1,Directed,1
19,13,Directed,2
13,19,Directed,3
4,14,Directed,2
14,4,Directed,2
5,18,Directed,1
18,5,Directed,3
12,10,Directed,1
10,12,Directed,1
16,17,Directed,2
17,16,Directed,0
7,0,Directed,2
0,7,Directed,1
9,3,Directed,2
3,9,Directed,0
6,11,Directed,3
11,6,Directed,0
7,15,Directed,1
15,7,Directed,2
8,1,Directed,0
1,8,Directed,2
0,11,Directed,1
11,0,Directed,0
19,9,Directed,1
9,19,Directed,1
5,16,Directed,1
16,5,Directed,1
17,14,Directed,0
14,17,Directed,0
13,6,Directed,2
6,13,Directed,1
10,3,Directed,0
3,10,Directed,0
12,2,Directed,1
2,12,Directed,1
18,4,Directed,0
4,18,Directed,4
9,7,Directed,3
7,9,Directed,1
1,17,Directed,0
17,1,Directed,4
2,8,Directed,6
8,2,Directed,3
3,19,Directed,2
19,3,Directed,0
6,18,Directed,1
18,6,Directed,3
14,5,Directed,1
5,14,Directed,0
15,0,Directed,2
0,15,Directed,1
16,12,Directed,1
12,16,Directed,0
11,10,Directed,0
10,11,Directed,3
4,13,Directed,2
13,4,Directed,1
7,3,Directed,2
3,7,Directed,0
19,14,Directed,2
14,19,Directed,0
10,15,Directed,2
15,10,Directed,0
5,2,Directed,0
2,5,Directed,0
12,1,Directed,1
1,12,Directed,0
17,6,Directed,0
6,17,Directed,4
18,16,Directed,2
16,18,Directed,2
0,9,Directed,1
9,0,Directed,1
13,11,Directed,2
11,13,Directed,0
8,4,Directed,0
4,8,Directed,2
9,13,Directed,3
13,9,Directed,1
1,5,Directed,1
5,1,Directed,0
2,17,Directed,2
17,2,Directed,0
3,0,Directed,1
0,3,Directed,1
15,18,Directed,1
18,15,Directed,1
16,8,Directed,2
8,16,Directed,1
14,12,Directed,4
12,14,Directed,0
11,19,Directed,3
19,11,Directed,1
11,3,Directed,3
3,11,Directed,1
19,7,Directed,3
7,19,Directed,1
10,8,Directed,1
8,10,Directed,1
12,5,Directed,2
5,12,Directed,0
13,0,Directed,3
0,13,Directed,2
15,6,Directed,3
6,15,Directed,4
16,1,Directed,0
1,16,Directed,2
17,4,Directed,0
4,17,Directed,2
14,2,Directed,3
2,14,Directed,2
18,9,Directed,1
9,18,Directed,2
4,12,Directed,0
12,4,Directed,0
8,18,Directed,3
18,8,Directed,2
2,16,Directed,3
16,2,Directed,0
3,13,Directed,2
13,3,Directed,1
19,0,Directed,2
0,19,Directed,1
8,13,Directed,2
13,8,Directed,0
1,15,Directed,1
15,1,Directed,0
2,3,Directed,4
3,2,Directed,0
12,9,Directed,1
9,12,Directed,2
17,0,Directed,0
0,17,Directed,0
16,7,Directed,3
7,16,Directed,1
18,11,Directed,2
11,18,Directed,3
4,19,Directed,1
19,4,Directed,1
5,10,Directed,1
10,5,Directed,3
14,6,Directed,2
6,14,Directed,1
0,14,Directed,0
14,0,Directed,2
9,1,Directed,1
1,9,Directed,2
3,18,Directed,2
18,3,Directed,1
11,12,Directed,2
12,11,Directed,0
19,2,Directed,3
2,19,Directed,1
10,16,Directed,0
16,10,Directed,0
6,8,Directed,0
8,6,Directed,0
15,17,Directed,1
17,15,Directed,0
7,4,Directed,2
4,7,Directed,2
13,5,Directed,0
5,13,Directed,0
0,12,Directed,1
12,0,Directed,0
11,17,Directed,2
17,11,Directed,0
10,2,Directed,1
2,10,Directed,1
15,16,Directed,2
16,15,Directed,0
7,18,Directed,3
18,7,Directed,0
9,4,Directed,2
4,9,Directed,1
3,5,Directed,4
5,3,Directed,2
19,8,Directed,2
8,19,Directed,2
6,1,Directed,3
1,6,Directed,1
13,14,Directed,1
14,13,Directed,3
8,9,Directed,1
9,8,Directed,3
4,3,Directed,3
3,4,Directed,1
5,0,Directed,0
0,5,Directed,0
12,19,Directed,1
19,12,Directed,2
14,15,Directed,4
15,14,Directed,0
16,6,Directed,0
6,16,Directed,1
18,13,Directed,1
13,18,Directed,0
2,11,Directed,4
11,2,Directed,2
17,10,Directed,0
10,17,Directed,3
1,7,Directed,3
7,1,Directed,0
1,11,Directed,2
11,1,Directed,2
2,0,Directed,3
0,2,Directed,1
6,4,Directed,0
4,6,Directed,3
12,3,Directed,3
3,12,Directed,1
17,18,Directed,2
18,17,Directed,2
14,8,Directed,4
8,14,Directed,0
15,13,Directed,1
13,15,Directed,0
10,9,Directed,2
9,10,Directed,0
16,19,Directed,0
19,16,Directed,1
5,7,Directed,1
7,5,Directed,2
8,5,Directed,4
5,8,Directed,0
3,15,Directed,2
15,3,Directed,0
13,12,Directed,2
12,13,Directed,0
18,2,Directed,0
2,18,Directed,0
0,10,Directed,0
10,0,Directed,2
19,1,Directed,1
1,19,Directed,2
9,6,Directed,4
6,9,Directed,2
7,11,Directed,1
11,7,Directed,0
1,14,Directed,0
14,1,Directed,1
5,17,Directed,1
17,5,Directed,0
4,10,Directed,0
10,4,Directed,0
1,0,Directed,0
0,1,Directed,2
6,3,Directed,0
3,6,Directed,0
12,18,Directed,0
18,12,Directed,0
17,8,Directed,0
8,17,Directed,1
16,11,Directed,0
11,16,Directed,1
2,9,Directed,0
9,2,Directed,3
10,13,Directed,1
13,10,Directed,1
5,4,Directed,2
4,5,Directed,2
14,7,Directed,2
7,14,Directed,0
15,19,Directed,0
19,15,Directed,1
18,14,Directed,1
14,18,Directed,0
8,12,Directed,2
12,8,Directed,2
0,16,Directed,2
16,0,Directed,2
3,17,Directed,0
17,3,Directed,2
11,15,Directed,3
15,11,Directed,0
4,1,Directed,5
1,4,Directed,0
13,2,Directed,1
2,13,Directed,0
7,10,Directed,2
10,7,Directed,0
19,6,Directed,0
6,19,Directed,0
9,5,Directed,3
5,9,Directed,0
6,7,Directed,0
7,6,Directed,2
2,15,Directed,1
15,2,Directed,0
16,9,Directed,0
9,16,Directed,1
8,0,Directed,2
0,8,Directed,1
4,11,Directed,2
11,4,Directed,1
5,6,Directed,1
6,5,Directed,2
12,7,Directed,1
7,12,Directed,4
17,13,Directed,0
13,17,Directed,2
1,3,Directed,4
3,1,Directed,0
14,10,Directed,2
10,14,Directed,1
18,19,Directed,0
19,18,Directed,4
9,15,Directed,4
15,9,Directed,3
7,17,Directed,2
17,7,Directed,0
4,16,Directed,3
16,4,Directed,1
6,10,Directed,0
10,6,Directed,0
11,14,Directed,1
14,11,Directed,6
7,2,Directed,3
2,7,Directed,1
0,18,Directed,1
18,0,Directed,2
9,17,Directed,5
17,9,Directed,1
3,14,Directed,1
14,3,Directed,7
11,8,Directed,1
8,11,Directed,1
19,5,Directed,3
5,19,Directed,0
10,1,Directed,2
1,10,Directed,0
6,12,Directed,0
12,6,Directed,1
13,16,Directed,2
16,13,Directed,1
15,4,Directed,0
4,15,Directed,5
